Job ID,Position,Posting Status,Date Created,Application Deadline,Reposted,Term Posted,Number of Positions,All Degrees and Disciplines,Salary Range,Duration,Application Delivery Method,Application Procedure,Skills Categories,Duties Categories,Work Type,"Work Location (City, Province)",Organization Name,Country,Total View Count,Unique View Count,Application Count,Selected for Interview Count,Placement Records Count
16,Job Title 90,Expired,05/19/2023 09:49 AM,05/31/2023 11:59 PM,no,Fall 2023,1,Yes,,12 Months,Apply through the Employer's website:,,"['engineering', 'team', 'machine learning', 'programming', 'algorithms', 'ability', 'skills', 'program', 'data', 'computer', 'visualization', 'management', 'time', 'communication', 'experience', 'knowledge']","['engineering', 'team', 'business', 'data', 'technical', 'support', 'development', 'management', 'work', 'project']",In-Person,"Toronto, ON",Organization_8,Canada,27,21,5,0,0
17,Job Title 90,Expired,05/19/2023 09:43 AM,05/31/2023 11:59 PM,no,Fall 2023,1,Yes,,12 Months,Apply through the Employer's website:,,"['engineering', 'team', 'machine learning', 'programming', 'algorithms', 'ability', 'skills', 'program', 'data', 'computer', 'visualization', 'management', 'time', 'communication', 'experience', 'knowledge']","['engineering', 'team', 'business', 'data', 'technical', 'support', 'development', 'management', 'work', 'project']",In-Person,"Toronto, ON",Organization_8,Canada,29,22,5,0,0
18,Job Title 40,Expired,05/18/2023 04:24 PM,05/31/2023 11:59 PM,no,Fall 2023,1,Yes,,12 Months,Apply through the Employer's website:,,"['python', 'engineering', 'team', 'machine learning', 'programming', 'algorithms', 'ability', 'skills', 'program', 'data', 'communication', 'computer', 'management', 'time', 'work', 'experience', 'knowledge']","['engineering', 'team', 'business', 'data', 'technical', 'support', 'development', 'management', 'work', 'project']",In-Person,"Toronto, ON",Organization_8,Canada,48,38,9,0,0
19,Job Title 41,Expired,05/18/2023 04:33 PM,05/31/2023 11:59 PM,no,Fall 2023,1,Yes,,12 or 16 Months,Apply through the Employer's website:,,"['engineering', 'team', 'ability', 'skills', 'environment', 'program', 'communication', 'computer', 'management', 'time', 'work', 'experience', 'knowledge']","['design', 'team', 'data', 'technical', 'management', 'project']",In-Person,"Toronto, ON",Organization_8,Canada,56,43,4,0,0
20,Job Title 55,Expired,07/26/2022 12:39 PM,08/05/2022 11:59 PM,no,Fall 2022,1,No,,12 Months,Apply through the Employer's website:,,"['engineering', 'team', 'programming', 'skills', 'program', 'management', 'communication', 'experience', 'strong', 'knowledge']","['team', 'business', 'data', 'technical', 'support', 'management', 'project', 'solutions']",In-Person,"Toronto, ON",Organization_8,Canada,60,28,14,0,3
21,Job Title 20,Expired,07/19/2022 02:31 PM,07/29/2022 11:59 PM,no,Fall 2022,1,No,,4 Months,Apply through the Employer's website:,,"['computer', 'experience', 'knowledge']","['software', 'data', 'management']",In-Person,"Toronto, ON",Organization_2,Canada,38,32,16,0,0
22,Job Title 11,Expired,09/09/2022 11:47 AM,09/23/2022 11:59 PM,no,Winter 2023,1,No,,4 Months,Lassonde Co-op & Internship Portal,,"['team', 'ability', 'skills', 'communication', 'work', 'experience', 'strong']","['engineering', 'team', 'design', 'quality control', 'support', 'management', 'work', 'project', 'solutions']",In-Person,"Ajax, ON",Organization_9,Canada,8,4,3,0,0
23,Job Title 57,Expired,07/17/2023 11:09 AM,07/18/2023 11:59 PM,no,Fall 2023,1,No,,12 Months,Lassonde Co-op & Internship Portal,,"['python', 'machine learning', 'programming', 'algorithms', 'ability', 'skills', 'data', 'communication', 'strong']","['engineering', 'team', 'data', 'development', 'work', 'solutions']",In-Person,"Ajax, ON",Organization_10,Canada,36,27,14,0,0
24,Job Title 67,Expired,01/20/2022 10:28 AM,02/03/2022 11:59 PM,yes,Summer 2022,6,No,,"4, 8, 12 or 16 Months",Apply through the Employer's website:,,['program'],"['engineering', 'work', 'team', 'technical']",In-Person,"Calgary, AB",Organization_11,Canada,55,38,9,0,0
25,Job Title 6,Expired,01/28/2022 01:36 PM,02/07/2022 11:59 PM,yes,Summer 2022,1,No,,8 or 12 Months,Apply through the Employer's website:,,['program'],"['engineering', 'work', 'team', 'management']",In-Person,"Calgary, AB",Organization_11,Canada,30,26,5,0,0
26,Job Title 91,Expired,09/15/2023 11:12 AM,09/30/2023 11:59 PM,no,Winter 2024,1,No,,8 or 12 Months,Apply through the Employer's website:,,"['programming', 'skills', 'program', 'development', 'graphic design', 'software development', 'communication', 'experience', 'strong', 'knowledge']","['design', 'team', 'technology', 'business', 'data', 'technical', 'development', 'solutions']",In-Person,"Calgary, AB",Organization_3,Canada,101,65,25,0,0
27,Job Title 36,Expired,04/07/2022 10:16 AM,04/10/2022 11:59 PM,no,Summer 2022,1,No,24.53 - $25.67,16 Months ONLY,Lassonde Co-op & Internship Portal,,"['engineering', 'team', 'ability', 'skills', 'environment', 'communication', 'computer', 'management', 'development', 'time', 'work', 'experience', 'strong', 'knowledge']","['team', 'data', 'support', 'development', 'management', 'project']",In-Person,"Alliston, ON",Organization_12,Canada,33,25,10,0,0
28,Job Title 61,Expired,10/05/2021 10:52 AM,10/17/2021 08:00 AM,no,Summer 2022,1,No,,16 Months ONLY,Lassonde Co-op & Internship Portal,,"['engineering', 'team', 'programming', 'ability', 'skills', 'environment', 'communication', 'management', 'time', 'work', 'experience', 'strong', 'knowledge']","['engineering', 'team', 'design', 'technology', 'support', 'development', 'work']",In-Person,"Alliston, ON",Organization_12,Canada,38,14,2,0,0
29,Job Title 34,Expired,12/19/2022 10:15 AM,01/09/2023 11:59 PM,no,Summer 2023,2,Yes,,16 Months ONLY,Lassonde Co-op & Internship Portal,,"['engineering', 'ability', 'skills', 'environment', 'data', 'communication', 'computer', 'management', 'time', 'work', 'experience', 'strong']","['engineering', 'team', 'design', 'technology', 'business', 'software', 'data', 'technical', 'development', 'software development', 'work', 'solutions']",In-Person,"Alliston, ON",Organization_12,Canada,231,155,14,0,0
30,Job Title 51,Expired,10/28/2022 10:29 AM,11/05/2022 11:59 PM,yes,Winter 2023,1,No,"$18.25 - $20.38/hr, plus 4% vacation pay","4, 8 or 12 Months",Apply through the Employer's website:,,"['environment', 'development', 'time', 'work', 'experience']","['support', 'work', 'team', 'development']",In-Person,"Alliston, ON",Organization_13,Canada,6,3,0,0,0
31,Job Title 53,Expired,10/28/2022 10:09 AM,11/05/2022 11:59 PM,no,Winter 2023,1,No,"$18.25 - $20.38/hr, plus 4% vacation pay","4, 8 or 12 Months",Apply through the Employer's website:,,"['engineering', 'environment', 'time', 'work', 'experience', 'knowledge']","['engineering', 'data', 'development', 'management', 'work', 'project']",In-Person,"Alliston, ON",Organization_13,Canada,8,4,1,0,0
32,Job Title 73,Expired,10/04/2023 01:29 PM,10/13/2023 11:59 PM,no,Winter 2024,1,No,$18.61 - $20.78,"4, 8 or 12 Months",Apply through the Employer's website:,,"['engineering', 'environment', 'time', 'work', 'experience', 'knowledge']","['engineering', 'data', 'development', 'management', 'work', 'project']",To Be Determined (TBD),"Alliston, ON",Organization_13,Canada,11,5,2,0,0
33,Job Title 26,Expired,10/20/2022 04:28 PM,11/05/2022 11:59 PM,no,Winter 2023,1,No,18.25 - 20.38 + 4% vacation pay,"4, 8 or 12 Months",Lassonde Co-op & Internship Portal,,"['engineering', 'environment', 'time', 'work', 'experience', 'knowledge']","['engineering', 'data', 'development', 'management', 'work', 'project']",Hybrid (Remote and In-Person),"Alliston, ON",Organization_13,Canada,4,1,0,0,0
34,Job Title 78,Expired,02/09/2024 09:40 AM,02/26/2024 11:59 PM,no,Summer 2024,1,No,,4 Months,Apply through the Employer's website:,,"['engineering', 'time', 'work', 'skills']","['engineering', 'team', 'design', 'business', 'data', 'technical', 'development', 'work']",In-Person,"Arnprior, ON",Organization_14,Canada,28,20,1,0,0
35,Job Title 12,Expired,01/11/2023 01:49 PM,01/22/2023 11:59 PM,no,Summer 2023,1,Yes,,4 Months,Apply through the Employer's website:,,['engineering'],['work'],In-Person,"Atikokan, ON",Organization_15,Canada,110,80,8,0,0
36,Job Title 63,Expired,07/25/2022 01:04 PM,08/07/2022 11:59 PM,yes,Fall 2022,2,No,,4 Months with possibility of extension,Lassonde Co-op & Internship Portal,,"['engineering', 'computer', 'experience', 'program']","['engineering', 'research and development', 'team', 'design', 'technology', 'software', 'technical', 'support', 'development', 'management', 'software development', 'work', 'project', 'solutions']",In-Person,"Aurora, ON",Organization_16,Canada,75,46,17,0,2
37,Job Title 95,Expired,10/04/2023 01:45 PM,10/18/2023 11:59 PM,no,Summer 2024,2,No,,4 Months,Apply through the Employer's website:,,"['python', 'programming', 'skills', 'data', 'computer', 'management', 'communication', 'experience', 'knowledge']","['engineering', 'team', 'design', 'software', 'development', 'work']",Hybrid (Remote and In-Person),"Austin, Texas, USA",Organization_17,United States,17,10,3,0,0
38,Job Title 80,Expired,10/04/2023 01:26 PM,10/18/2023 11:59 PM,no,Winter 2024,1,No,,4 Months with possibility of extension,Apply through the Employer's website:,,"['python', 'programming', 'skills', 'data', 'computer', 'management', 'communication', 'experience', 'knowledge']","['engineering', 'team', 'design', 'software', 'development', 'work']",Hybrid (Remote and In-Person),"Austin, Texas, USA",Organization_17,United States,74,55,19,0,0
39,Job Title 16,Expired,01/26/2024 11:20 AM,02/06/2024 11:59 PM,no,Summer 2024,1,No,"$91,520.00/Yr. USD - $137,280.00/Yr.",4 Months,Apply through the Employer's website:,,"['engineering', 'programming', 'algorithms', 'computer', 'development', 'software development', 'communication', 'experience', 'strong', 'knowledge']","['team', 'design', 'technology', 'software', 'data', 'technical', 'support', 'development', 'software development', 'work']",In-Person,"Austin, Texas, USA",Organization_17,United States,117,93,13,0,0
40,Job Title 83,Expired,08/08/2023 10:59 AM,08/22/2023 11:59 PM,no,Fall 2023,1,No,,4 Months with possibility of extension,Apply through the Employer's website:,,"['engineering', 'programming', 'ability', 'skills', 'communication', 'computer', 'development', 'work', 'experience', 'knowledge']","['engineering', 'design', 'technology', 'data', 'development', 'work', 'project']",In-Person,"Bangalore, India",Organization_17,India,78,67,8,0,0
41,Job Title 92,Expired,11/07/2022 09:04 AM,11/21/2022 11:59 PM,yes,Winter 2023,2,No,,16 Months ONLY,Apply through the Employer's website:,,"['engineering', 'team', 'skills', 'program', 'data', 'computer', 'time', 'work', 'experience', 'knowledge']","['engineering', 'team', 'technology', 'software', 'data', 'support', 'work', 'project']",Hybrid (Remote and In-Person),"Barrie, ON",Organization_14,Canada,23,18,3,0,0
42,Job Title 68,Expired,10/11/2022 01:44 PM,10/25/2022 11:59 PM,yes,Winter 2023,1,No,,4 Months,Apply through the Employer's website:,,"['team', 'management', 'work', 'experience', 'program']","['engineering', 'team', 'data', 'technical', 'support', 'development', 'management', 'work']",In-Person,"Barrie, ON",Organization_18,Canada,0,0,0,0,0
43,Job Title 64,Expired,02/08/2024 01:13 PM,02/26/2024 11:59 PM,no,Summer 2024,1,No,,8 or 12 Months,Apply through the Employer's website:,,"['engineering', 'skills', 'program', 'data', 'computer', 'time', 'work', 'experience', 'knowledge']","['engineering', 'team', 'technology', 'software', 'data', 'work']",Hybrid (Remote and In-Person),"Barrie, ON",Organization_14,Canada,45,36,5,0,0
44,Job Title 67,Expired,02/07/2024 11:37 AM,02/26/2024 11:59 PM,no,Summer 2024,1,Yes,,"8, 12 or 16 Months",Apply through the Employer's website:,,"['engineering', 'team', 'ability', 'skills', 'program', 'communication', 'management', 'time', 'work', 'strong', 'knowledge']","['engineering', 'team', 'technology', 'business', 'data', 'technical', 'support', 'development', 'management', 'work', 'project', 'solutions']",Hybrid (Remote and In-Person),"Barrie, ON",Organization_14,Canada,54,39,7,0,2
45,Job Title 30,Expired,03/28/2023 11:21 AM,04/09/2023 11:59 PM,no,Summer 2023,1,Yes,,12 Months,Apply through the Employer's website:,,"['engineering', 'computer', 'program']","['technology', 'software', 'support', 'development', 'management', 'work']",Hybrid (Remote and In-Person),"Barrie, ON",Organization_14,Canada,81,59,13,0,0
46,Job Title 83,Expired,03/16/2022 01:02 PM,03/21/2022 11:59 PM,no,Summer 2022,1,No,,"4, 8, 12 or 16 Months",Lassonde Co-op & Internship Portal,,"['time', 'team', 'experience']","['engineering', 'team', 'software', 'development', 'management', 'work', 'project']",In-Person,"Barrie, ON",Organization_19,Canada,7,4,1,0,0
47,Job Title 97,Expired,05/16/2022 10:23 AM,05/27/2022 11:59 PM,yes,Fall 2022,1,No,,12 Months,Apply through the Employer's website:,,"['ability', 'skills', 'environment', 'communication', 'development', 'management', 'time', 'work', 'strong']","['team', 'technology', 'data', 'support', 'development', 'management', 'work', 'project']",In-Person,"Barrie, ON",Organization_14,Canada,46,36,6,0,0
48,Job Title 89,Expired,02/16/2024 10:39 AM,02/26/2024 11:59 PM,no,Summer 2024,1,Yes,,4 or 8 Months,Apply through the Employer's website:,,"['engineering', 'team', 'environment', 'skills', 'communication', 'time', 'work', 'program']","['support', 'project', 'work', 'team']",In-Person,"Barrie, ON",Organization_14,Canada,12,7,3,0,0
49,Job Title 75,Expired,02/09/2024 09:29 AM,02/26/2024 11:59 PM,no,Summer 2024,1,Yes,,4 Months,Apply through the Employer's website:,,"['engineering', 'time', 'work', 'skills']","['engineering', 'team', 'design', 'business', 'data', 'technical', 'development', 'work']",In-Person,"Barrie, ON",Organization_14,Canada,21,14,5,0,0
50,Job Title 55,Expired,04/11/2023 03:49 PM,04/21/2023 11:59 PM,no,Summer 2023,1,Yes,,4 Months,Apply through the Employer's website:,,"['engineering', 'team', 'ability', 'skills', 'environment', 'computer', 'management', 'time', 'communication', 'strong', 'program']","['support', 'project', 'team', 'management']",In-Person,"Barrie, ON",Organization_20,Canada,35,29,3,0,0
51,Job Title 14,Expired,03/16/2023 12:16 PM,03/26/2023 11:59 PM,no,Summer 2023,1,Yes,,4 Months,Apply through the Employer's website:,,"['engineering', 'team', 'ability', 'skills', 'environment', 'computer', 'management', 'time', 'communication', 'strong', 'program']","['support', 'project', 'team', 'management']",In-Person,"Barrie, ON",Organization_20,Canada,59,51,9,0,0
52,Job Title 17,Expired,02/26/2024 11:25 AM,03/05/2024 11:59 PM,no,Summer 2024,1,No,,8 or 12 Months,Apply through the Employer's website:,,"['engineering', 'skills', 'program', 'data', 'computer', 'time', 'work', 'experience', 'knowledge']","['engineering', 'team', 'technology', 'software', 'data', 'work']",To Be Determined (TBD),"Barrie, ON",Organization_14,Canada,103,82,13,0,0
53,Job Title 66,Expired,02/15/2024 02:51 PM,02/26/2024 11:59 PM,no,Summer 2024,1,No,,8 or 12 Months,Apply through the Employer's website:,,"['engineering', 'skills', 'program', 'data', 'computer', 'time', 'work', 'experience', 'knowledge']","['engineering', 'team', 'technology', 'software', 'data', 'work']",To Be Determined (TBD),"Barrie, ON",Organization_14,Canada,27,23,4,0,0
54,Job Title 7,Expired,02/08/2024 01:35 PM,02/26/2024 11:59 PM,no,Summer 2024,1,No,,4 or 8 Months,Apply through the Employer's website:,,"['engineering', 'team', 'environment', 'skills', 'communication', 'time', 'work', 'program']","['support', 'project', 'work', 'team']",To Be Determined (TBD),"Barrie, ON",Organization_14,Canada,11,5,3,0,0
55,Job Title 24,Expired,02/06/2024 01:30 PM,02/26/2024 11:59 PM,no,Summer 2024,5,Yes,,12 or 16 Months,Apply through the Employer's website:,,"['engineering', 'team', 'environment', 'skills', 'data', 'communication', 'computer', 'time', 'work', 'experience', 'program']","['engineering', 'team', 'technology', 'software', 'data', 'technical', 'development', 'management', 'software development', 'work', 'solutions']",To Be Determined (TBD),"Barrie, ON",Organization_14,Canada,116,89,16,0,6
56,Job Title 81,Expired,05/16/2023 02:58 PM,05/31/2023 11:59 PM,no,Fall 2023,1,Yes,,12 Months,Apply through the Employer's website:,,"['engineering', 'ability', 'skills', 'environment', 'communication', 'computer', 'time', 'work', 'strong', 'program']","['engineering', 'software', 'data', 'technical', 'support', 'development', 'management']",Hybrid (Remote and In-Person),"Barrie, ON",Organization_14,Canada,73,47,10,0,2
57,Job Title 87,Expired,01/11/2023 10:33 AM,01/22/2023 11:59 PM,no,Summer 2023,3,Yes,,4 Months,Apply through the Employer's website:,,"['engineering', 'time', 'work', 'program']",['work'],In-Person,"Barrie, ON",Organization_15,Canada,140,95,8,0,0
58,Job Title 37,Expired,01/04/2024 01:20 PM,01/21/2024 11:59 PM,no,Summer 2024,3,No,,4 or 8 Months,Apply through the Employer's website:,,"['time', 'work', 'program']","['engineering', 'team', 'software', 'data', 'work']",In-Person,"Barrie, ON",Organization_15,Canada,144,95,31,0,0
59,Job Title 35,Expired,05/18/2022 02:40 PM,05/25/2022 11:59 PM,yes,Fall 2022,2,No,,8 Months,Apply through the Employer's website:,,"['engineering', 'team', 'programming', 'ability', 'skills', 'communication', 'work', 'experience', 'strong']","['engineering', 'research and development', 'team', 'design', 'data', 'support', 'development', 'management', 'solutions']",In-Person,"Burnaby, BC",Organization_21,Canada,31,19,5,0,0
60,Job Title 93,Expired,05/05/2022 10:33 AM,05/15/2022 11:59 PM,yes,Fall 2022,1,No,,8 Months,Apply through the Employer's website:,,"['team', 'programming', 'ability', 'skills', 'communication', 'computer', 'management', 'time', 'work', 'experience', 'strong']","['team', 'data', 'technical', 'support', 'development', 'management', 'work', 'project']",In-Person,"Burnaby, BC",Organization_21,Canada,30,21,5,0,0
61,Job Title 41,Expired,05/04/2022 01:55 PM,05/15/2022 11:59 PM,yes,Fall 2022,2,No,,8 Months,Apply through the Employer's website:,,"['engineering', 'team', 'programming', 'ability', 'skills', 'communication', 'work', 'experience', 'strong']","['engineering', 'research and development', 'team', 'design', 'data', 'support', 'development', 'management', 'solutions']",In-Person,"Burnaby, BC",Organization_21,Canada,10,6,0,0,0
62,Job Title 14,Expired,05/04/2022 01:47 PM,05/15/2022 11:59 PM,no,Fall 2022,1,No,,8 Months,Apply through the Employer's website:,,"['python', 'engineering', 'team', 'programming', 'ability', 'skills', 'communication', 'computer', 'development', 'software development', 'work', 'strong', 'knowledge']","['engineering', 'research and development', 'team', 'design', 'software', 'data', 'support', 'development']",In-Person,"Burnaby, BC",Organization_21,Canada,68,42,8,0,0
63,Job Title 39,Expired,05/25/2022 11:59 PM,05/31/2022 11:59 PM,yes,Summer 2022,1,No,,4 Months,Apply through the Employer's website:,,"['python', 'programming', 'skills', 'data', 'java', 'team', 'environment', 'management', 'software development', 'communication', 'engineering', 'databases', 'work', 'program', 'ability', 'computer', 'development', 'experience', 'knowledge']","['business', 'team', 'development', 'technology']",In-Person,"Bedford, NS",Organization_22,Canada,18,10,4,0,0
64,Job Title 77,Expired,09/15/2022 10:45 AM,09/26/2022 11:59 PM,yes,Winter 2023,1,No,,8 Months,Apply through the Employer's website:,,"['ability', 'skills', 'data', 'strong', 'knowledge']","['team', 'technology', 'business', 'data', 'management', 'work', 'project', 'solutions']",In-Person,"Bedford, NS",Organization_23,Canada,41,29,10,0,0
65,Job Title 2,Expired,02/14/2022 12:48 PM,02/20/2022 11:59 PM,no,Summer 2022,1,No,,4 Months,Apply through the Employer's website:,,"['team', 'ability', 'skills', 'environment', 'communication', 'computer', 'management', 'time', 'work', 'experience', 'strong', 'program']","['support', 'data', 'work', 'team']",In-Person,"Belleville, ON",Organization_11,Canada,6,6,1,0,0
66,Job Title 1,Expired,04/01/2024 11:48 AM,04/15/2024 11:59 PM,no,Summer 2024,2,No,,4 Months,Apply through the Employer's website:,,"['team', 'ability', 'skills', 'environment', 'communication', 'computer', 'management', 'time', 'work', 'experience', 'strong', 'program']","['team', 'data', 'technical', 'support', 'work']",In-Person,"Belleville, ON",Organization_11,Canada,26,17,5,0,0
67,Job Title 48,Expired,02/07/2023 01:31 PM,02/24/2023 11:59 PM,no,Summer 2023,3,Yes,,4 Months,Apply through the Employer's website:,,"['team', 'ability', 'skills', 'environment', 'communication', 'computer', 'management', 'time', 'work', 'experience', 'strong', 'program']","['data', 'work', 'support']",In-Person,"Belleville, ON or Montreal, QC",Organization_11,Canada,90,75,7,0,0
68,Job Title 28,Expired,02/14/2023 05:48 AM,03/13/2023 11:59 PM,no,Summer 2023,1,No,,16 Months ONLY,Apply through the Employer's website:,,[],"['engineering', 'team', 'software', 'data', 'technical', 'support', 'management', 'work', 'project', 'solutions']",Hybrid (Remote and In-Person),"Boisbriand, QC",Organization_24,Canada,60,46,6,0,0
69,Job Title 86,Expired,10/30/2023 11:00 AM,11/13/2023 11:59 PM,no,Winter 2024,1,No,,16 Months ONLY,Lassonde Co-op & Internship Portal,,"['engineering', 'ability', 'data', 'management', 'work', 'strong']","['data', 'work', 'team', 'business']",To Be Determined (TBD),"Bolton, ON",Organization_25,Canada,97,77,27,0,0
70,Job Title 43,Expired,11/24/2023 02:49 PM,12/15/2023 11:59 PM,yes,Winter 2024,3,No,,16 Months ONLY,Lassonde Co-op & Internship Portal,,"['engineering', 'team', 'ability', 'skills', 'communication', 'work', 'strong', 'knowledge']","['data', 'team', 'business']",In-Person,"Bolton, ON",Organization_26,Canada,5,3,0,0,0
71,Job Title 66,Expired,10/31/2023 10:13 AM,11/30/2023 11:59 PM,no,Summer 2024,3,No,,16 Months ONLY,Lassonde Co-op & Internship Portal,,"['engineering', 'team', 'ability', 'skills', 'program', 'communication', 'work', 'experience', 'strong', 'knowledge']","['engineering', 'team', 'design', 'business', 'software', 'work']",In-Person,"Bolton, ON",Organization_26,Canada,21,14,2,0,0
